branch_code,condition_code
1,1
1,2
1,3
1,4
2,1
2,2
2,4
3,1
3,2
3,3
3,4
4,1
4,2
4,3
4,4
5,1
5,2
5,3
5,4
6,1
6,2
6,4
7,1
7,2
7,3
7,4
8,1
8,2
8,3
8,4
9,1
9,2
9,3
9,4
10,1
10,2
10,3
10,4
11,1
11,2
11,3
11,4
12,1
12,2
12,3
12,4
13,2
13,3
13,4
14,1
14,2
14,3
14,4
15,2
15,3
15,4
16,1
16,2
16,4
17,2
17,3
17,4
18,2
18,3
18,4
19,1
19,2
19,3
19,4
20,2
20,3
20,4
21,1
21,2
21,3
21,4
22,2
22,3
22,4
23,1
23,2
23,3
23,4
24,1
24,2
24,3
24,4
25,2
25,3
25,4
26,1
26,2
26,4
27,1
27,2
27,3
27,4
28,1
28,2
28,3
29,1
29,2
29,3
29,4
30,1
30,2
30,3
30,4
31,1
31,2
31,3
31,4
32,1
32,2
32,3
32,4
33,1
33,2
33,3
33,4
34,1
34,2
34,3
34,4
35,1
35,2
35,4
36,2
36,3
36,4
37,1
37,2
37,3
37,4
38,1
38,2
38,3
38,4
39,1
39,2
39,4
40,1
40,2
40,3
40,4
41,1
41,2
41,3
41,4
42,1
42,2
42,4
43,2
43,3
43,4
44,1
44,2
44,3
44,4
45,1
45,2
45,4
46,1
46,2
46,4
47,1
47,2
47,3
47,4
48,1
48,2
48,3
48,4
49,1
49,2
49,4
50,2
50,3
51,1
51,2
51,4
52,1
52,2
52,3
52,4
53,1
53,2
53,3
53,4
54,1
54,2
54,3
54,4
55,1
55,2
55,3
55,4
56,1
56,2
56,3
56,4
57,2
57,3
58,1
58,2
58,3
58,4
59,1
59,2
59,3
59,4
60,1
60,2
60,3
60,4
61,1
61,2
61,3
61,4
62,3
63,1
63,2
63,3
63,4
64,2
64,3
64,4
65,2
65,3
65,4
66,1
66,2
66,4
67,1
67,2
67,3
67,4
68,1
68,2
68,3
68,4
69,1
69,2
69,3
69,4
70,1
70,2
70,4
71,1
71,2
71,3
71,4
72,1
72,2
72,4
73,2
73,3
73,4
74,1
74,2
74,3
74,4
75,1
75,2
75,3
75,4
76,1
76,2
76,3
76,4
77,1
77,2
77,3
77,4
78,1
78,2
78,3
78,4
79,1
79,2
79,3
79,4
80,1
80,2
80,4
81,1
81,2
81,3
81,4
82,1
82,2
82,3
82,4
83,3
85,1
85,2
85,3
85,4
86,2
86,3
86,4
87,1
87,2
87,3
88,2
88,3
89,2
89,3
89,4
90,1
90,2
90,3
90,4
91,1
91,2
91,3
91,4
92,2
92,3
92,4
93,2
93,3
94,1
94,2
94,3
94,4
95,1
95,2
95,3
95,4
96,1
96,2
96,3
96,4
97,1
97,2
97,3
97,4
98,2
98,3
98,4
99,1
99,2
99,3
99,4
100,2
100,3
100,4
101,1
101,2
101,3
101,4
102,1
102,2
102,3
102,4
103,1
103,2
103,3
103,4
104,1
104,2
104,3
104,4
106,1
106,2
106,3
106,4
107,1
107,2
107,3
107,4
108,2
108,3
108,4
109,2
109,3
109,4
110,1
110,2
110,3
110,4
112,3
112,4
113,3
113,4
114,1
114,3
114,4
115,1
115,3
116,2
116,3
116,4
117,1
117,2
117,3
117,4
118,2
118,3
118,4
119,2
119,3
119,4
120,1
120,2
120,3
120,4
121,1
121,2
121,3
121,4
122,1
122,2
122,3
123,2
123,3
123,4
124,1
124,2
124,3
124,4
125,1
125,2
125,3
125,4
126,1
126,2
126,3
126,4
128,2
128,3
128,4
129,2
129,3
129,4
130,3
131,2
131,3
131,4
132,2
132,3
132,4
133,3
134,1
134,2
134,4
135,1
135,2
135,3
135,4
136,2
136,3
136,4
137,1
137,2
137,4
138,1
138,2
138,4
139,1
139,2
139,3
139,4
140,2
140,4
141,1
141,2
141,4
142,1
142,2
142,4
143,1
143,2
143,3
143,4
144,1
144,2
144,3
144,4
145,2
145,3
145,4
146,2
146,3
146,4
147,2
147,4
148,2
148,3
148,4
149,2
149,3
149,4
150,2
150,3
150,4
151,2
152,2
152,3
153,1
153,2
153,4
154,2
154,3
154,4
155,1
155,2
155,3
155,4
156,1
156,2
156,3
156,4
157,1
157,2
157,3
157,4
158,1
158,2
158,3
158,4
159,1
159,2
159,3
159,4
160,2
160,3
160,4
161,1
161,2
161,3
161,4
162,2
162,3
163,2
163,4
164,1
164,2
164,4
165,2
165,3
165,4
166,1
166,2
166,3
166,4
167,2
167,3
168,2
168,3
168,4
169,2
169,4
170,1
170,2
170,3
170,4
171,2
171,3
172,2
172,3
172,4
173,2
173,3
173,4
174,2
175,2
175,4
176,2
176,3
176,4
177,2
177,4
178,2
178,3
178,4
179,2
180,2
180,3
180,4
181,2
181,3
181,4
182,2
182,3
182,4
183,2
183,4
184,2
185,2
185,3
185,4
186,2
186,3
186,4
187,2
187,3
187,4
188,2
188,3
189,2
189,3
189,4
190,2
190,3
190,4
192,2
192,3
192,4
193,2
193,3
193,4
194,2
194,3
195,2
195,3
195,4
196,2
196,3
196,4
197,2
197,3
197,4
198,1
198,2
198,3
198,4
200,2
200,3
201,2
201,3
201,4
202,2
202,3
203,2
203,3
203,4
204,2
204,3
204,4
205,2
205,3
206,2
206,3
207,3
208,2
208,3
208,4
209,2
209,3
209,4
210,2
210,4
211,2
211,3
211,4
212,2
212,4
213,2
213,3
214,2
214,3
214,4
215,3
216,2
216,3
216,4
217,2
217,4
218,2
218,3
218,4
219,2
219,3
219,4
220,2
220,3
221,2
221,3
222,2
222,3
222,4
223,2
224,2
224,3
224,4
225,2
226,2
226,3
226,4
227,4
228,1
228,2
228,3
228,4
229,2
229,3
229,4
230,2
230,4
231,2
231,3
231,4
232,2
232,3
232,4
233,2
233,3
233,4
234,2
234,3
234,4
235,2
235,3
235,4
237,2
237,3
238,2
239,2
239,3
239,4
240,1
240,2
240,3
240,4
241,1
241,2
241,3
241,4
242,2
242,4
246,2
246,3
246,4
247,2
247,3
248,1
248,2
248,3
248,4
249,2
249,3
249,4
250,2
250,3
250,4
252,2
252,3
252,4
253,1
253,2
253,3
253,4
254,1
254,2
254,3
254,4
255,1
255,2
255,3
255,4
256,2
257,1
257,2
257,3
257,4
258,2
258,3
258,4
259,2
259,4
260,2
260,3
260,4
261,2
261,3
262,2
262,3
262,4
263,2
263,3
264,2
264,3
264,4
265,2
265,4
266,2
266,4
267,2
267,3
267,4
268,1
268,2
268,4
269,2
269,3
269,4
270,1
270,2
271,1
271,2
271,3
271,4
272,2
272,3
272,4
273,3
273,4
274,2
274,3
276,2
277,2
277,3
278,1
278,2
278,3
278,4
279,1
279,2
279,3
279,4
280,2
280,4
281,2
281,3
281,4
282,2
282,3
283,2
283,3
283,4
284,1
284,2
284,3
284,4
285,2
285,3
285,4
286,2
286,3
289,1
289,2
289,3
289,4
290,1
290,2
290,3
290,4
291,1
291,2
291,4
292,1
292,2
292,3
292,4
293,2
293,3
293,4
294,2
294,3
294,4
295,1
295,2
295,3
295,4
296,3
297,2
297,3
297,4
298,2
299,2
299,3
300,1
300,2
300,3
300,4
301,1
301,2
301,3
301,4
302,1
302,2
302,3
302,4
303,2
303,3
303,4
304,1
304,2
304,3
304,4
305,2
305,3
305,4
306,2
306,3
306,4
307,2
307,3
308,1
308,2
308,3
308,4
310,1
310,2
310,3
310,4
311,1
311,2
311,3
311,4
312,1
312,2
312,3
313,1
313,2
313,3
314,1
314,2
314,3
315,1
315,2
315,3
315,4
316,2
316,4
317,1
317,2
317,3
317,4
318,1
318,2
318,3
318,4
319,1
319,2
319,3
319,4
320,1
320,2
320,3
320,4
321,1
321,2
321,4
322,2
322,3
322,4
323,1
323,2
323,3
323,4
324,2
324,4
325,1
325,2
325,4
326,1
326,2
326,4
327,2
327,3
327,4
328,2
328,3
329,1
329,2
329,4
330,1
330,2
330,3
330,4
331,1
331,2
331,4
332,1
332,2
332,3
332,4
333,1
333,2
333,3
333,4
334,1
334,2
334,3
334,4
335,1
335,2
335,3
335,4
336,2
336,3
336,4
337,1
337,2
337,3
337,4
338,2
338,3
338,4
339,2
339,3
339,4
340,1
340,2
340,4
341,1
341,2
341,4
342,1
343,2
343,4
344,1
344,2
344,3
344,4
345,1
345,2
345,3
345,4
346,1
346,2
346,3
346,4
347,1
347,2
347,3
347,4
348,1
348,2
348,3
348,4
349,1
349,2
349,4
350,1
350,2
350,4
351,2
351,4
352,1
352,2
352,3
352,4
353,1
353,2
353,3
353,4
354,1
354,2
354,4
355,1
355,2
355,3
355,4
356,1
356,2
356,4
357,1
357,2
357,3
357,4
358,1
358,2
358,4
359,2
359,3
359,4
360,1
360,2
360,3
360,4
361,2
361,4
362,1
362,2
362,3
362,4
363,1
363,2
363,3
363,4
364,1
364,2
364,3
364,4
365,1
365,2
365,4
366,1
366,2
366,3
366,4
367,1
367,2
367,3
367,4
368,1
368,2
368,3
368,4
369,2
369,3
369,4
370,1
370,2
370,3
370,4
371,1
371,2
371,3
371,4
372,2
372,3
373,1
373,2
373,3
373,4
374,2
374,3
374,4
376,2
376,3
376,4
377,1
377,2
377,3
377,4
378,1
378,2
378,3
378,4
379,2
379,3
379,4
380,1
380,2
380,3
380,4
381,1
381,2
381,3
381,4
382,1
382,2
382,4
383,2
383,3
383,4
384,2
384,3
384,4
385,1
385,2
385,3
385,4
386,1
386,2
386,3
386,4
387,1
387,2
387,3
387,4
388,1
388,2
388,3
388,4
389,1
389,2
389,3
389,4
390,2
390,3
390,4
391,1
391,2
391,3
391,4
392,1
392,2
393,2
393,3
393,4
394,1
394,2
394,3
394,4
395,1
395,2
395,4
396,1
396,2
396,3
396,4
397,1
397,2
397,3
397,4
398,1
398,3
398,4
399,1
399,2
399,3
399,4
400,1
400,2
400,3
400,4
401,1
401,2
401,4
402,2
402,3
402,4
403,1
403,2
403,3
403,4
404,1
404,2
404,4
405,1
405,2
405,3
405,4
406,1
406,2
406,4
407,1
407,2
407,3
407,4
408,1
408,2
408,3
409,1
409,2
409,3
409,4
410,1
410,2
410,3
410,4
411,1
411,2
411,3
411,4
412,1
412,2
412,4
413,1
413,2
413,3
413,4
414,2
414,3
414,4
415,1
415,2
415,4
416,1
416,2
416,3
416,4
417,2
417,3
417,4
418,2
418,4
419,1
419,2
419,3
419,4
420,1
420,2
420,4
421,1
421,2
421,3
422,1
422,2
422,4
423,1
423,2
423,3
423,4
424,1
424,2
424,3
424,4
425,1
425,2
425,4
426,1
426,2
426,3
427,1
427,2
427,3
428,1
428,2
428,3
428,4
429,1
429,2
429,3
429,4
430,1
430,2
430,3
430,4
431,1
431,2
431,3
432,1
433,2
433,4
434,1
434,2
434,4
435,1
435,2
435,4
436,1
436,2
436,3
436,4
437,1
437,2
437,4
438,1
438,2
438,4
439,1
439,2
439,3
439,4
440,1
440,2
440,4
441,1
441,2
441,3
441,4
442,2
442,3
443,2
443,3
443,4
444,1
444,2
444,4
445,2
445,3
445,4
446,1
446,2
446,3
446,4
447,1
447,2
447,3
447,4
449,1
449,2
449,3
449,4
450,1
450,2
450,3
450,4
451,1
451,2
451,3
451,4
452,1
452,2
452,3
452,4
453,1
453,2
453,3
453,4
454,1
454,2
454,3
454,4
455,1
455,2
455,3
455,4
456,1
456,2
456,3
456,4
457,1
457,2
457,3
457,4
458,2
458,3
458,4
