branch_code,chain_code,city_code,branch,address,url_branch
1,1,1,カラオケBanBan札幌厚別南店,北海道札幌市厚別区厚別南４-２６-２８,https://karaoke-shin.jp/shop-list/627.html
2,1,45,カラオケBanBan八雲店,北海道二海郡八雲町富士見町４７-１ ＫＳビルディング３Ｆ,https://karaoke-shin.jp/shop-list/417.html
3,1,7,カラオケBanBan帯広白樺通り店,北海道帯広市西１９条南３丁目２６-１５,https://karaoke-shin.jp/shop-list/300.html
4,1,1,カラオケBanBan手稲駅前店,北海道札幌市手稲区手稲本町２条４丁目８-２０ キテネビルＢ棟２階区画２番,https://karaoke-shin.jp/shop-list/277.html
5,1,2,カラオケBanBan函館柏木店,北海道函館市柏木町３５-７,https://karaoke-shin.jp/shop-list/235.html
6,1,71,カラオケBanBan余市店,北海道余市郡余市町黒川町７-２０ 余市センタービル３Ｆ,https://karaoke-shin.jp/shop-list/223.html
7,1,1,カラオケBanBan平岸店,北海道札幌市豊平区平岸２条８-２-６ 第２松井ビルB２F,https://karaoke-shin.jp/shop-list/220.html
8,1,1,カラオケBanBan白石店,北海道札幌市白石区本通１丁目南２-２０ サイドワインダービル１F,https://karaoke-shin.jp/shop-list/219.html
9,1,35,カラオケBanBan上磯店,北海道北斗市七重浜５-１５-１,https://karaoke-shin.jp/shop-list/140.html
10,1,186,カラオケBanBan青森観光通り店,青森県青森市大字浜田字玉川３４３,https://karaoke-shin.jp/shop-list/513.html
11,1,187,カラオケBanBan弘前駅前店,青森県弘前市大字大町１丁目３－６,https://karaoke-shin.jp/shop-list/514.html
12,1,188,カラオケBanBan八戸諏訪店,青森県八戸市諏訪３丁目１９-２５,https://karaoke-shin.jp/shop-list/644.html
13,1,303,カラオケBanBan大曲駅前店,秋田県大仙市大曲通町１１－１２ MAビル,https://karaoke-shin.jp/shop-list/526.html
14,1,294,カラオケBanBan秋田泉店,秋田県秋田市泉南１丁目２－１０ １F,https://karaoke-shin.jp/shop-list/525.html
15,1,294,カラオケBanBan秋田駅前2号店,秋田県秋田市千秋久保田町３－１８ 森ビル2,https://karaoke-shin.jp/shop-list/524.html
16,1,296,カラオケBanBan横手店,秋田県横手市駅南１-２-２９,https://karaoke-shin.jp/shop-list/498.html
17,1,294,カラオケBanBan秋田大町店,秋田県秋田市大町５丁目４-１５ フェニックスビル２Ｆ,https://karaoke-shin.jp/shop-list/292.html
