city_code,pref_code,city
1,1,札幌市
2,1,函館市
3,1,小樽市
4,1,旭川市
5,1,室蘭市
6,1,釧路市
7,1,帯広市
8,1,北見市
9,1,夕張市
10,1,岩見沢市
11,1,網走市
12,1,留萌市
13,1,苫小牧市
14,1,稚内市
15,1,美唄市
16,1,芦別市
17,1,江別市
18,1,赤平市
19,1,紋別市
20,1,士別市
21,1,名寄市
22,1,三笠市
23,1,根室市
24,1,千歳市
25,1,滝川市
26,1,砂川市
27,1,歌志内市
28,1,深川市
29,1,富良野市
30,1,登別市
31,1,恵庭市
32,1,伊達市
33,1,北広島市
34,1,石狩市
35,1,北斗市
36,1,当別町
37,1,新篠津村
38,1,松前町
39,1,福島町
40,1,知内町
41,1,木古内町
42,1,七飯町
43,1,鹿部町
44,1,森町
45,1,八雲町
46,1,長万部町
47,1,江差町
48,1,上ノ国町
49,1,厚沢部町
50,1,乙部町
51,1,奥尻町
52,1,今金町
53,1,せたな町
54,1,島牧村
55,1,寿都町
56,1,黒松内町
57,1,蘭越町
58,1,ニセコ町
59,1,真狩村
60,1,留寿都村
61,1,喜茂別町
62,1,京極町
63,1,倶知安町
64,1,共和町
65,1,岩内町
66,1,泊村
67,1,神恵内村
68,1,積丹町
69,1,古平町
70,1,仁木町
71,1,余市町
72,1,赤井川村
73,1,南幌町
74,1,奈井江町
75,1,上砂川町
76,1,由仁町
77,1,長沼町
78,1,栗山町
79,1,月形町
80,1,浦臼町
81,1,新十津川町
82,1,妹背牛町
83,1,秩父別町
84,1,雨竜町
85,1,北竜町
86,1,沼田町
87,1,鷹栖町
88,1,東神楽町
89,1,当麻町
90,1,比布町
91,1,愛別町
92,1,上川町
93,1,東川町
94,1,美瑛町
95,1,上富良野町
96,1,中富良野町
97,1,南富良野町
98,1,占冠村
99,1,和寒町
100,1,剣淵町
101,1,下川町
102,1,美深町
103,1,音威子府村
104,1,中川町
105,1,幌加内町
106,1,増毛町
107,1,小平町
108,1,苫前町
109,1,羽幌町
110,1,初山別村
111,1,遠別町
112,1,天塩町
113,1,猿払村
114,1,浜頓別町
115,1,中頓別町
116,1,枝幸町
117,1,豊富町
118,1,礼文町
119,1,利尻町
120,1,利尻富士町
